Issue,Storypoint
"Alert users of builds which can not be built by any agents
Bamboo should alert the user if a Plan can not be built for a period of time.  This should be set by default and overridden or removed by the user if necessary.    This will avoid the following:    !http://img.skitch.com/20090310-fk3547se8py75u3pr1g2g4mfux.jpg!",1
"Reliably Reproduce ""BAM-3244 Fix hanging agents""
nan",8
"Patch ActiveMQ to fix the code problem to fix hanging agent problem
relies on BAM-3676.  this is the minimal patch that we could ship to customers.  this does NOT imply creating a activeMQ branch that Atlassian maintain, etc, etc.",3
"Reproduce BAM-3643 - Extreme CPU spike on BEAC
We have little idea what this could be and have not had much success repro'ing it.",12
"BAM-3495 Fixing borked status
nan",8
"Support bundled plugins in Bamboo
nan",5
"Add the ability to sleep before collecting artifacts to a bamboo agent
When the build ends, bamboo sweeps up the artifacts.  I'd like a system property on the agent which could introducce a small sleep.  This would be to allow the build to settle down and save all its artifacts before the agent comes along to collect them.",2
"Bamboo Specfic Functional Tests for SAL Intefaces
All the CTK testing plugin does is generic testing that the interfaces return something.   We need to write some Bamboo specific tests which ensure Bamboo is actually doing the right thing underneath those SAL calls.    ",3
"Implement SAL Interfaces Part 3
Implement the interfaces which didn't make it into the last milestone.  See this page for details on which items missed out   http://extranet.atlassian.com/display/BAMBOO/Bamboo+SAL+Compatability+-+Work+In+Progress",5
"Spike - Deploy gadget server into Bamboo with a Hello world gadget to prove it
Estimates to include infrastructure  Assuming plugins 2 is done  depends on implement SAL pt 2  No Authentication mechanism yet  See where this can be consumed. Not sure if Ref App can consume.  Timebox this spike to 1 person iteration  ",12
"BAM-3674 (Regression) - Incorrect display of faiing since test
Investigation required  Keep Sam Berlin Happy  To be done on stable branch for 2.2.2  ",5
"BAM-3717 (Regression) - :: in test names throws error
Need to escape properly  To be done on stable branch for 2.2.2  ",2
"Implement Bundled Plugins Part 2
Delivery mechanism for the Gadget server.    Try plugin that is known to work (SAL)  ",1
"REST Module type plugin point
Drop in the plugin   ",2
"REST endpoint for build status gadget
Requires mockups done  ",3
"Gadget - User can authenticate through a gadget
This means manual username/password must be inputted. Should use basic auth    Not OAuth (will be obselete with OAuth)  ",3
"Gadget - User can see the status of favourite plans 
interactions are links back to the server only    Edwin to get UI teams to give some mock ups  ",5
"Gadget - User can see the status of the recent 5 builds of favourite plans in the existing status gadget
Just the display. REST should provide info    Need mockup for this - story assume that mockup is there already  ",3
"Gadget - User can select which plans they want to watch
Selection based on read permissions of the authenticated user    Can pick between individual plans or their favourite plans    Whilst selecting, the favourited should still be indicated (up top)    Storage of configuraiton on the gadge consumer  ",5
